name,url,files,loc_files,java,loc_java,qtd_commits,qtd_releases,life_span,source_java,stars,forks,colaborators
accumulo,https://github.com/apache/accumulo.git,2217,442081,2058,393203,12042,44,11.917808219178083,core/src/main/java,995,434,152
activemq,https://github.com/apache/activemq.git,4927,466389,4360,416725,11476,85,17.753424657534246,activemq-http/src/main/java,2200,1400,128
ant-ivy,https://github.com/apache/ant-ivy.git,1869,316568,664,77786,3048,23,18.18904109589041,src/java,60,117,21
calcite,https://github.com/apache/calcite.git,2619,469625,2321,407510,5401,113,11.32876712328767,core/src/main/java,4000,2100,325
cassandra,https://github.com/apache/cassandra.git,4998,1055561,4459,680827,29142,297,14.536986301369863,src/java,8200,3500,426
chukwa,https://github.com/apache/chukwa.git,781,104693,469,42874,854,26,10.638356164383561,core/src/main/java,82,44,10
druid,https://github.com/apache/druid.git,10356,2404163,7571,1081801,13174,486,10.89041095890411,server/src/main/java,12800,3600,564
elasticsearch,https://github.com/elastic/elasticsearch.git,23674,3254155,18385,2675287,71870,369,13.597260273972603,server/src/main/java,65100,2700,1862
fastjson,https://github.com/alibaba/fastjson.git,3192,208569,3119,186876,3983,134,11.789041095890411,src/main/java,25400,6600,179
gson,https://github.com/google/gson.git,291,36612,249,33372,1877,47,15.035616438356165,gson/src/main/java,22400,4300,142
guava,https://github.com/google/guava.git,1968,358412,1909,354072,6173,101,14.232876712328768,guava/src,48300,10700,294
jackrabbit,https://github.com/apache/jackrabbit.git,3369,361452,3133,343361,9159,281,19.0,jackrabbit-core/src/main/java,310,208,26
jackson-databind,https://github.com/FasterXML/jackson-databind,1194,202811,1153,147890,7180,187,11.723287671232876,src/main/java,3300,1300,225
jena,https://github.com/apache/jena.git,9451,804253,6582,639749,10895,85,11.326027397260274,jena-core/src/main/java,985,626,95
jenkins,https://github.com/jenkinsci/jenkins.git,4148,336308,1744,185394,34180,1688,16.86027397260274,core/src/main/java,21400,8300,759
jgit,https://github.com/spearce/jgit.git,1548,191487,1339,181835,5081,92,7.641095890410959,jgit/org.eclipse.jgit/src/org/eclipse/jgit,43,23,129
jspwiki,https://github.com/apache/jspwiki.git,1266,119603,749,58559,9314,111,15.936986301369863,jspwiki-api/src/main/java,96,98,16
libgdx,https://github.com/libgdx/libgdx.git,3280,585759,2395,289554,15266,54,13.487671232876712,gdx/src,21900,6500,550
lucene,https://github.com/apache/lucene,5666,874066,5352,846576,36638,458,22.008219178082193,luciene,2000,808,327
mina,https://github.com/apache/mina.git,348,25305,319,23633,2409,75,17.34794520547945,core/src/main/java,881,435,17
pdfbox,https://github.com/apache/pdfbox.git,1373,162457,1257,157926,11435,68,15.594520547945205,pdfbox/src/main/java,2100,759,6
pgjdbc,https://github.com/pgjdbc/pgjdbc.git,829,110221,544,81282,3318,211,26.076712328767123,pgjdbc/src/main/java,1300,779,259
poi,https://github.com/apache/poi.git,3808,508648,3704,423688,12708,98,21.624657534246577,poi/src/main/java,1700,694,16
retrofit,https://github.com/square/retrofit.git,367,30114,288,27089,2084,54,13.013698630136986,retrofit/src/main/java,42000,7300,170
selenium,https://github.com/SeleniumHQ/selenium.git,4681,776323,1183,106742,30321,200,18.865753424657534,java/src,27700,7800,704
spring-boot,https://github.com/spring-projects/spring-boot.git,8653,472676,6913,401536,44918,284,10.895890410958904,spring-boot-project/spring-boot/src/main/java,69300,39400,1023
struts,https://github.com/apache/struts.git,3350,268046,2545,208219,6771,147,17.561643835616437,core/src/main/java,1200,790,65
testng,https://github.com/cbeust/testng.git,2444,106442,2208,99521,5283,95,17.10958904109589,testng-core/src/main/java,1900,995,201
tika,https://github.com/apache/tika.git,2221,220737,1679,166111,7679,96,16.46027397260274,tika-core/src/main/java,1900,708,124
xerces2-j,https://github.com/apache/xerces2-j.git,1134,181208,833,140644,5510,98,19.41917808219178,src/org/apache/xerces,35,67,3
