Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Verdecchia, Roberto; Kruchten, Philippe; Lago, Patricia; ",Architectural technical debt: A grounded theory,"Software Architecture: 14th European Conference, ECSA 2020, L'Aquila, Italy, September 14–18, 2020, Proceedings 14",,,202-219,2020,Springer
"Martini, Antonio; Bosch, Jan; ",The danger of architectural technical debt: Contagious debt and vicious circles,2015 12th Working IEEE/IFIP Conference on Software Architecture,,,1-10,2015,IEEE
"Besker, Terese; Martini, Antonio; Bosch, Jan; ",Managing architectural technical debt: A unified model and systematic literature review,Journal of Systems and Software,135,,1-16,2018,Elsevier
"Nord, Robert L; Ozkaya, Ipek; Kruchten, Philippe; Gonzalez-Rojas, Marco; ",In search of a metric for managing architectural technical debt,2012 Joint Working IEEE/IFIP Conference on Software Architecture and European Conference on Software Architecture,,,91-100,2012,IEEE
"Verdecchia, Roberto; Malavolta, Ivano; Lago, Patricia; ",Architectural technical debt identification: The research landscape,Proceedings of the 2018 International Conference on Technical Debt,,,11-20,2018,
"Martini, Antonio; Bosch, Jan; Chaudron, Michel; ",Investigating architectural technical debt accumulation and refactoring over time: A multiple-case study,Information and Software Technology,67,,237-253,2015,Elsevier
"Verdecchia, Roberto; Kruchten, Philippe; Lago, Patricia; Malavolta, Ivano; ",Building and evaluating a theory of architectural technical debt in software-intensive systems,Journal of Systems and Software,176,,110925,2021,Elsevier
"Martini, Antonio; Bosch, Jan; ",On the interest of architectural technical debt: Uncovering the contagious debt phenomenon,Journal of Software: Evolution and Process,29,10,e1877,2017,Wiley Online Library
"Borowa, Klara; Zalewski, Andrzej; Kijas, Szymon; ",The influence of cognitive biases on architectural technical debt,2021 IEEE 18th International Conference on Software Architecture (ICSA),,,115-125,2021,IEEE
"Verdecchia, Roberto; Lago, Patricia; Malavolta, Ivano; Ozkaya, Ipek; ",ATDx: Building an architectural technical debt index,"15th International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE 2020",,,,2020,SciTePress
"Martini, Antonio; Bosch, Jan; ",An empirically developed method to aid decisions on architectural technical debt refactoring: AnaConDebt,Proceedings of the 38th International Conference on Software Engineering Companion,,,31-40,2016,
"Li, Zengyang; Liang, Peng; Avgeriou, Paris; ",Architectural technical debt identification based on architecture decisions and change scenarios,2015 12th Working IEEE/IFIP Conference on Software Architecture,,,65-74,2015,IEEE
"Verdecchia, Roberto; ",Architectural Technical Debt: Identification and Management,,,,,2021,
"Sas, Darius; Avgeriou, Paris; ",An architectural technical debt index based on machine learning and architectural smells,IEEE Transactions on Software Engineering,,,,2023,IEEE
