"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Impact of Architectural Technical Debt on Daily Software Development Work — A Survey of Software Practitioners","T. Besker; A. Martini; J. Bosch","Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden","2017 43rd Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","28 Sep 2017","2017","","","278","287","The negative consequences of Technical Debt is an area of increasing interest, and more specifically the Architectural aspects of it have received increased attention in the last few years. Besides the negative effects of Architectural Technical Debt on the overall software product quality in terms of hindering evolution and causing high maintenance costs, Architectural Technical Debt also has a significant negative impact on software practitioners' daily work. Although a great deal of theoretical work on Architectural Technical Debt has been undertaken, there is a lack of empirical studies that examine the negative effects of Architectural Technical Debt during the software development lifecycle. The aim of this study is to investigate how practitioners perceive and estimate the impact of Architectural Technical Debt during the software development process. This paper reports the results of an online web survey providing quantitative data from 258 participants. The contribution of this paper is threefold: First, it shows that practitioners experience that the Architectural type of Technical Debt has the highest negative impact on daily software development work. Secondly, we provide evidence that does not support the commonly held belief that Architectural Technical Debt increases with the age of the software. Thirdly, we show that despite different responsibilities and working tasks of software professionals, Architectural Technical Debt negatively affects all roles without any significant difference between the roles.","","978-1-5386-2141-7","10.1109/SEAA.2017.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8051360","component;Architectural Technical Debt;Wasted time;Software Age;Software Roles;Software Development;Empirical Study;Survey;Quantitative data","Maintenance engineering;Computer architecture;Computer science;Software quality;Industries;Focusing","","4","","37","IEEE","28 Sep 2017","","","IEEE","IEEE Conferences"
"Strategic Management of Technical Debt: Tutorial Synopsis","P. Kruchten","Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada","2012 12th International Conference on Quality Software","4 Oct 2012","2012","","","282","284","The technical debt metaphor acknowledges that software development teams sometimes accept compromises in a system in one dimension (for example, modularity) to meet an urgent demand in some other dimension (for example, a deadline), and that such compromises incur a ""debt"". If not properly managed the interest on this debt may continue to accrue, severely hampering system stability and quality and impacting the team's ability to deliver enhancements at a pace that satisfies business needs. Although unmanaged debt can have disastrous results, strategically managed debt can help businesses and organizations take advantage of time-sensitive opportunities, fulfill market needs and acquire stakeholder feedback. Because architecture has such leverage within the overall development life cycle, strategic management of architectural debt is of primary importance. Some aspects of technical debt - but not all technical debt - affects product quality. This tutorial introduces the technical debt metaphor, the various types of technical debt, and in particular structural or architectural debt, the techniques for measuring and communicating this technical debt, and its relationship with software quality, both internal and external quality.","2332-662X","978-1-4673-2857-9","10.1109/QSIC.2012.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6319262","technical debt;software evolution;software architecture","Software;Tutorials;Games;Software engineering;Testing;Measurement;Complexity theory","","8","","19","IEEE","4 Oct 2012","","","IEEE","IEEE Conferences"
"Identifying and visualizing Architectural Debt and its efficiency interest in the automotive domain: A case study","U. Eliasson; A. Martini; R. Kaufmann; S. Odeh","Volvo Car Group, Sweden; Department of Computer Science and Engineering, Chalmers University of Technology | University of Gothenburg; Department of Computer Science and Engineering, Chalmers University of Technology | University of Gothenburg; Department of Computer Science and Engineering, Chalmers University of Technology | University of Gothenburg","2015 IEEE 7th International Workshop on Managing Technical Debt (MTD)","23 Nov 2015","2015","","","33","40","Architectural Technical Debt has recently received the attention of the scientific community, as a suitable metaphor for describing sub-optimal architectural solutions having short-term benefits but causing a long-term negative impact. We study such phenomenon in the context of Volvo Car Group, where the development of modern cars includes complex systems with mechanical components, electronics and software working together in a complicated network to perform an increasing number of functions and meet the demands of many customers. This puts high requirements on having an architecture and design that can handle these demands. Therefore, it is of utmost importance to manage Architecture Technical Debt, in order to make sure that the advantages of sub-optimal solutions do not lead to the payment of a large interest. We conducted a case study at Volvo Car Group and we discovered that architectural violations in the detailed design had an impact on the efficiency of the communication between components, which is an essential quality in cars and other embedded systems. Such interest is not studied in literature, which usually focuses on the maintainability aspects of Technical Debt. To explore how this Architectural Technical Debt and its interest could be communicated to stakeholders, we developed a visual tool. We found that not only was the Architectural Debt highly interesting for the architects and other stakeholders at VCG, but the proposed visualization was useful in increasing the awareness of the impact that Architectural Technical Debt had on efficiency.","","978-1-4673-7378-4","10.1109/MTD.2015.7332622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332622","","Software;Visualization;Computer architecture;Stakeholders;Context;Automotive engineering;Complex systems","","9","","18","IEEE","23 Nov 2015","","","IEEE","IEEE Conferences"
"Technical Debt in Hardware Systems and Elements","L. A. Rosser; Z. Ouzzif","Raytheon Intelligence and Space, Richardson, TX; Raytheon Intelligence and Space, Richardson, TX","2021 IEEE Aerospace Conference (50100)","7 Jun 2021","2021","","","1","10","This paper explores the application of the technical debt metaphor to hardware-centric systems. We specifically evaluate how technical debt impacts hardware development and how it can best be handled. Technical debt management can help make better decisions by tracking the debt that is building up in hardware elements and objectively assessing when correcting technical debt items is more cost-effective than allowing them to continue to charge interest in the form of lower productivity and higher risk. Technical debt management has shown great value in the software development field, and recent applications show that the concept can be applied to other engineering disciplines, including systems engineering. There has been less research into technical debt in hardware systems, but many of the same concerns - dependencies, complexity, patterns and conventions, integration, and non-functional requirements - apply. In this paper, we will describe applications of known technical debt types, such as architectural debt, implementation debt, configuration debt, modeling and simulation debt, quality debt, integration debt and testing debt, to hardware centric environments. Then, we will analyze a set of hardware-centric programs for concrete examples of technical debt and their impact. Based on this information, we will expand the definition of System Technical Debt and recommend approaches for identifying, managing, and eliminating technical debt in hardware-centric systems.","1095-323X","978-1-7281-7436-5","10.1109/AERO50100.2021.9438332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438332","","Productivity;Conferences;Buildings;Hardware;Software;Complexity theory;Modeling","","2","","17","IEEE","7 Jun 2021","","","IEEE","IEEE Conferences"
"Architectural Technical Debt Identification: Moving Forward","R. Verdecchia","Vrije Universiteit Amsterdam, The Netherlands","2018 IEEE International Conference on Software Architecture Companion (ICSA-C)","13 Aug 2018","2018","","","43","44","Architectural technical debt is a metaphor used to describe sub-optimal architectural design and implementation choices that bring short-term benefits to the cost of the long-term gradual deterioration of the quality of software. Architectural technical debt is an active field of research. Nevertheless, how to accurately identify architectural technical debt is still an open question. Our research aims to fill this gap. We strive to: (i) consolidate the existing knowledge of architectural technical debt identification in practice, (ii) conceive novel identification approaches built upon the existing state of the art techniques and industrial needs, and (iii) provide empirical evidence of architectural technical debt phenomena and assess the viability of the conceived approaches.","","978-1-5386-6585-5","10.1109/ICSA-C.2018.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432173","Software Architecture;Technical Debt;Software Maintenance","Software architecture;Tools;Software systems;Analytical models;Interviews","","4","","10","IEEE","13 Aug 2018","","","IEEE","IEEE Conferences"
"Strategic Management of Technical Debt: Tutorial at ICSA 2017","P. Kruchten","Electrical and Computer Engineering, University of British Columbia, Vancouver, Canada","2017 IEEE International Conference on Software Architecture Workshops (ICSAW)","26 Jun 2017","2017","","","202","203","The technical debt metaphor acknowledges that software development teams sometimes accept compromises in a system in one dimension (for example, modularity) to meet an urgent demand in some other dimension (for example, a deadline), and that such compromises incur a ""debt"". If not properly managed the interest on this debt may continue to accrue, severely hampering system stability and quality and impacting the team's ability to deliver enhancements at a pace that satisfies business needs. Although unmanaged debt can have disastrous results, strategically managed debt can help businesses and organizations take advantage of time-sensitive opportunities, fulfill market needs and acquire stakeholder feedback. Because architecture has such leverage within the overall development life cycle, strategic management of architectural debt is of primary importance. Some aspects of technical debt-but not all technical debt- affect product quality. This tutorial introduces the technical debt metaphor and the techniques for measuring and communicating this technical debt, integrating it fully with the software development lifecycle.).","","978-1-5090-4793-2","10.1109/ICSAW.2017.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958487","Technical debt;software evolution;maintainability;evolvability","Software;Tutorials;Conferences;Software architecture;Tools;Business;Industries","","","","","IEEE","26 Jun 2017","","","IEEE","IEEE Conferences"
"Applicability of Technical Debt as a Concept to Understand Obstacles for Evolution of Automated Production Systems","B. Vogel-Heuser; S. Rösch","Institute of Automation and Information Systems, Technical University Munich, Munich, Germany; Institute of Automation and Information Systems, Technical University Munich, Munich, Germany","2015 IEEE International Conference on Systems, Man, and Cybernetics","14 Jan 2016","2015","","","127","132","Automated production systems (aPS), a specific class of mechatronic systems, are complex, long living, software intensive, evolving systems designed according to customer request. Often, the evolution of such systems has to cope with imponderables and sudden disturbances of the systematic development or maintenance process. In software engineering, the concept of technical debt and, in more detail, architectural technical debt has been introduced recently to describe phenomena, which increase software development costs over time. This paper tries to adapt and apply the classification of technical debt and architectural technical debt to automated production systems, identifying similar dimensions but adding specific challenges, causes and their effects. Once the causes and effects are identified, management and recovery strategies coping with technical debt and architectural technical debt shall be developed in the future, thereby enlarging the strategies from software engineering. The adapted classification and adaptations are based on the experience of several industrial projects in aPS.","","978-1-4799-8697-2","10.1109/SMC.2015.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379167","automation;software engineering;PLC;IEC 61131-3;technical debt;architectural debt;software and system evolution","Software;Sorting;Software engineering;Sensors;Automation;Companies;Production systems","","16","","22","IEEE","14 Jan 2016","","","IEEE","IEEE Conferences"
"A Systems Perspective on Technical Debt","L. A. Rosser; J. H. Norton","Raytheon Intelligence and Space, Richardson, TX; Raytheon Missiles and Defense, Arlington, VA","2021 IEEE Aerospace Conference (50100)","7 Jun 2021","2021","","","1","10","This paper explores applications of the Technical Debt metaphor, which originated in the agile software community, at a systems level. We present a summary of current understanding of the technical debt concept and propose a broader application of the approach at a system level. The technical debt metaphor provides a method to identify cases when design or implementation decisions are being made for expediency and assess their long term impact on productivity and risk. In addition, technical debt management offers a logical approach to tracking expedient decisions and determining when it makes sense to carry the debt and when it's better to pay it off by updating designed and retrofitting units. In this paper, we describe various kinds of technical debt that may be present in a system baseline and consider how the presence of debt impacts further evolution of the system. Types of debt include architectural debt, configuration debt, testing debt and deprecation debt among others. We also present use case studies that illustrate how technical debt assessment and management can have a positive impact on system realization. Cases include moving a baseline from R&D to operations, reusing a baseline in a new context, and planning a technical refresh. We discuss methods of managing technical debt in a baseline including identification, quantification, tracking and payoff.","1095-323X","978-1-7281-7436-5","10.1109/AERO50100.2021.9438359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438359","","Productivity;System realization;Conferences;Software;Planning;Research and development;Testing","","5","","15","IEEE","7 Jun 2021","","","IEEE","IEEE Conferences"
"Technical Debt and the Effect of Agile Software Development Practices on It - An Industry Practitioner Survey","J. Holvitie; V. Leppänen; S. Hyrynsalmi","Department of Information Technology, University of Turku, Turku, Finland; Department of Information Technology, University of Turku, Turku, Finland; Department of Management and Entrepreneurship, University of Turku, Turku, Finland","2014 Sixth International Workshop on Managing Technical Debt","4 Dec 2014","2014","","","35","42","A major reason for the popularity of agile and lean software methods is their capability to function in resource scarce and requirement erratic environments. Both of these characteristics cause accumulation of technical debt, something that is the end result of either intentional or unintentional decisions. The ability of these methods to function with technical debt indicates that they contain components with inherent technical debt management capabilities. This study conducts a survey on industry practitioners to discover what is their level of technical debt knowledge, how does technical debt manifest in their projects and which of the applied components of agile software development -- both processes and practices -- are sensitive to technical debt. This paper contributes to the technical debt discussion by showing differences in assumed and indicated technical debt knowledge. Furthermore, components closest to implementation and its maintenance are perceived to have the most positive effects on technical debt management. Finally, the most encountered instances of technical debt are caused by architectural inadequacies, they are internal legacy, and increase in size as a result of continued implementation.","","978-1-4799-6791-9","10.1109/MTD.2014.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974888","technical debt;agile software development practices;agile software development processes;survey","Software;Agile software development;Industries;Companies;Programming;Standards","","45","","27","IEEE","4 Dec 2014","","","IEEE","IEEE Conferences"
"The Pricey Bill of Technical Debt: When and by Whom will it be Paid?","T. Besker; A. Martini; J. Bosch","Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden","2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","7 Nov 2017","2017","","","13","23","Software companies need to support continuous and fast delivery of customer value both in short and a long-term perspective. However, this can be hindered by evolution limitations and high maintenance efforts due to internal software quality issues by what is described as Technical Debt. Although significant theoretical work has been undertaken to describe the negative effects of Technical Debt, these studies tend to have a weak empirical basis and often lack quantitative data. The aim of this study is to estimate wasted time, caused by the Technical Debt interest during the software life-cycle. This study also investigates how practitioners perceive and estimate the impact of the negative consequences due to Technical Debt during the software development process. This paper reports the results of both an online web-survey provided quantitative data from 258 participants and follow-up interviews with 32 industrial software practitioners. The importance and originality of this study contributes and provides novel insights into the research on Technical Debt by quantifying the perceived interest and the negative effects it has on the software development life-cycle. The findings show that on average, 36% of all development time is estimated to be wasted due to Technical Debt; Complex Architectural Design and Requirement Technical Debt generates most negative effect; and that most time is wasted on understanding and/or measuring the Technical Debt. Moreover, the analysis of the professional roles and the age of the software system in the survey revealed that different roles are affected differently and that the consequences of Technical Debt are also influenced by the age of the software system.","","978-1-5386-0992-7","10.1109/ICSME.2017.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094405","component;Technical Debt;Wasted time;Development Cost;Software Development;Empirical Study;Survey;Qualitative data;Quantitative data","Time measurement;Software systems;Computer science;Companies;Software quality;Interviews","","21","","34","IEEE","7 Nov 2017","","","IEEE","IEEE Conferences"
