City,Latitude,Longitude
Acauã,-8.219542,-41.083059
Agricolândia,-5.7967843,-42.6605131
Água Branca,-5.8913922,-42.6361148
Alagoinha do Piauí,-7.0090952,-40.939675
Alegrete do Piauí,-7.2440138,-40.8602296
Alto Longá,-5.2549051,-42.2072388
Altos,-5.0393915,-42.4611694
Alvorada do Gurguéia,-8.4465288,-43.8655915
Amarante,-6.2459374,-42.8476238
Angical do Piauí,-6.0872666,-42.7366138
Anísio de Abreu,-9.183959,-43.049115
Antônio Almeida,-7.2186016,-44.1950248
Aroazes,-6.1109109,-41.7881792
Aroeiras do Itaim,-7.2797031,-41.5629681
Arraial,-6.6541632,-42.5335332
Assunção do Piauí,-5.8608718,-41.0492387
Avelino Lopes,-10.1346855,-43.9489525
Baixa Grande do Ribeiro,-7.862861,-45.2113289
Barra D'Alcântara,-6.5209258,-42.1071089
Barras,-4.2446153,-42.2920241
Barreiras do Piauí,-9.9224524,-45.4763776
Barro Duro,-5.8180139,-42.5106589
Batalha,-4.022391,-42.0780926
Bela Vista do Piauí,-7.9716353,-41.8715061
Belém do Piauí,-7.3767305,-40.9712156
Beneditinos,-5.4565671,-42.3605061
Bertolínia,-7.6372159,-43.9540611
Betânia do Piauí,-8.1460635,-40.7961387
Boa Hora,-4.4097328,-42.1253651
Bocaina,-6.9445939,-41.3224599
Bom Jesus,-9.0711644,-44.3583926
Bom Princípio do Piauí,-3.1912777,-41.6430185
Bonfim do Piauí,-9.1648678,-42.8734415
Boqueirão do Piauí,-4.4850148,-42.1095161
Brasileira,-4.131182,-41.7824969
Brejo do Piauí,-8.207583,-42.8359849
Buriti dos Lopes,-3.1776723,-41.8707444
Buriti dos Montes,-5.3136171,-41.0971256
Cabeceiras do Piauí,-4.4733665,-42.3098716
Cajazeiras do Piauí,-6.794271,-42.3935024
Cajueiro da Praia,-2.9289603,-41.3381617
Caldeirão Grande do Piauí,-7.3310393,-40.6374433
Campinas do Piauí,-7.6593687,-41.8814875
Campo Alegre do Fidalgo,-8.3753852,-41.8364191
Campo Grande do Piauí,-7.1327559,-41.0381164
Campo Largo do Piauí,-3.8104731,-42.6288333
Campo Maior,-4.8339574,-42.1739786
Canavieira,-7.6924041,-43.7190063
Canto do Buriti,-8.1112473,-42.944844
Capitão de Campos,-4.4584198,-41.9415301
Capitão Gervásio Oliveira,-8.4954657,-41.8169342
Caracol,-9.2804898,-43.3284924
Caraúbas do Piauí,-3.4760094,-41.8412188
Caridade do Piauí,-7.7331063,-40.9883665
Castelo do Piauí,-5.3230426,-41.5546185
Caxingó,-3.4208396,-41.8925637
Cocal,-3.4691882,-41.555851
Cocal de Telha,-4.5553648,-41.9722429
Cocal dos Alves,-3.59964,-41.444741
Coivaras,-5.0927005,-42.2052489
Colônia do Gurguéia,-8.183697,-43.793999
Colônia do Piauí,-7.2320268,-42.1777122
Conceição do Canindé,-7.8774025,-41.5961417
Coronel José Dias,-8.8252316,-42.4782948
Corrente,-10.4401356,-45.1627472
Cristalândia do Piauí,-10.6525894,-45.1847405
Cristino Castro,-8.8163934,-44.2211062
Curimatá,-10.0349005,-44.3033114
Currais,-9.0146796,-44.3999284
Curralinhos,-5.6190404,-42.8280018
Curral Novo do Piauí,-7.8316503,-40.9006904
Demerval Lobão,-5.3640643,-42.673993
Dirceu Arcoverde,-9.3413101,-42.4362055
Dom Expedito Lopes,-6.975604349999999,-41.69832460856625
Domingos Mourão,-4.2544732,-41.2722903
Dom Inocêncio,-9.0009167,-41.974038
Elesbão Veloso,-6.2032654,-42.1376937
Eliseu Martins,-8.0984137,-43.6637067
Esperantina,-3.8950963,-42.2370595
Fartura do Piauí,-9.4839171,-42.7906894
Flores do Piauí,-7.7917152,-42.9236162
Floresta do Piauí,-7.4679466,-41.800522
Floriano,-6.7675739,-43.022261
Francinópolis,-6.3962771,-42.2635654
Francisco Ayres,-6.6217571,-42.6941944
Francisco Macedo,-7.3276798,-40.7914329
Francisco Santos,-6.9944754,-41.1345548
Fronteiras,-7.088607,-40.6147253
Geminiano,-7.1580963,-41.3625942
Gilbués,-9.8295491,-45.3389933
Guadalupe,-6.7879775,-43.5708162
Guaribas,-9.3957375,-43.6877965
Hugo Napoleão,-5.989919,-42.5593218
Ilha Grande,-2.8520082,-41.8166904
Inhuma,-6.6694502,-41.7096008
Ipiranga do Piauí,-6.8240832,-41.7377279
Isaías Coelho,-7.7359201,-41.6765311
Itainópolis,-7.4483425,-41.4796645
Itaueira,-7.5991089,-43.0278778
Jacobina do Piauí,-7.9356495,-41.2106817
Jaicós,-7.3584791,-41.1446059
Jardim do Mulato,-6.0953808,-42.636034
Jatobá do Piauí,-4.7700202,-41.8181631
Jerumenha,-7.0880338,-43.5078454
João Costa,-8.4887363,-42.4174704
Joaquim Pires,-3.5083129,-42.1925425
Joca Marques,-3.4986388,-42.4317729
José de Freitas,-4.7578357,-42.5763777
Juazeiro do Piauí,-5.1709582,-41.7070148
Júlio Borges,-10.3273669,-44.2397326
Jurema,-9.2221109,-43.1293389
Lagoinha do Piauí,-5.8324033,-42.6236706
Lagoa Alegre,-4.5134956,-42.6234811
Lagoa do Barro do Piauí,-8.4798938,-41.5295775
Lagoa de São Francisco,-4.3928921,-41.5988828
Lagoa do Piauí,-5.4116544,-42.6450588
Lagoa do Sítio,-6.5169858,-41.5722134
Landri Sales,-7.2609081,-43.9311019
Luís Correia,-2.8818164,-41.6658458
Luzilândia,-3.4648887,-42.3689528
Madeiro,-3.4834038,-42.4994625
Manoel Emídio,-8.0054022,-43.8730321
Marcolândia,-7.4404183,-40.6650972
Marcos Parente,-7.1216428,-43.8892251
Massapê do Piauí,-7.4628039,-41.1260827
Matias Olímpio,-3.7150636,-42.5547925
Miguel Alves,-4.1730384,-42.8955677
Miguel Leão,-5.681461,-42.7371703
Milton Brandão,-4.7023518,-41.4473767
Monsenhor Gil,-5.5609098,-42.6127716
Monsenhor Hipólito,-6.9972682,-41.029733
Monte Alegre do Piauí,-9.7483373,-45.3048117
Morro Cabeça no Tempo,-9.7236848,-43.9037699
Morro do Chapéu do Piauí,-3.7415834,-42.3117139
Murici dos Portelas,-3.3222798,-42.0904339
Nazaré do Piauí,-6.9709737,-42.6707675
Nazária,-5.3512851,-42.8152823
Nossa Senhora de Nazaré,-4.6333634,-42.1716341
Nossa Senhora dos Remédios,-3.9792637,-42.6216791
Novo Oriente do Piauí,-6.4504258,-41.9219571
Novo Santo Antônio,-5.2870106,-41.9359942
Oeiras,-7.0174887,-42.1314478
Olho D'Água do Piauí,-5.8485456,-42.5737797
Padre Marcos,-7.3534527,-40.9063953
Paes Landim,-7.7781616,-42.2552274
Pajeú do Piauí,-7.855242,-42.8220764
Palmeira do Piauí,-8.49691385,-44.54569445530038
Palmeirais,-5.9761427,-43.0637158
Paquetá,-7.1041208,-41.7030366
Parnaguá,-10.2240273,-44.6374373
Parnaíba,-2.9147515,-41.7661953
Passagem Franca do Piauí,-5.8574824,-42.4402452
Patos do Piauí,-7.6799549,-41.245425
Pau D'Arco do Piauí,-5.2522265,-42.3884018
Paulistana,-8.1389174,-41.1380533
Pavussu,-7.9646111,-43.2232032
Pedro II,-4.4252673,-41.458407
Pedro Laurentino,-8.0660549,-42.2874621
Nova Santa Rita,-8.0739703,-42.0504725
Picos,-7.0823544,-41.4685053
Pimenteiras,-6.2366098,-41.4192948
Pio IX,-6.8351921,-40.6148654
Piracuruca,-3.9304804,-41.7150099
Piripiri,-4.2732339,-41.7785173
Porto,-3.8929066,-42.7078344
Porto Alegre do Piauí,-6.9717253,-44.1965104
Prata do Piauí,-5.6692702,-42.2067899
Queimada Nova,-8.5805141,-41.4173529
Redenção do Gurguéia,-9.4862001,-44.5840178
Regeneração,-6.231855,-42.6860897
Riacho Frio,-10.1298278,-44.9527078
Ribeira do Piauí,-7.6912987,-42.7130999
Ribeiro Gonçalves,-7.5603126,-45.2417148
Rio Grande do Piauí,-7.7767595,-43.140007
Santa Cruz do Piauí,-7.1827307,-41.7657024
Santa Cruz dos Milagres,-5.8019654,-41.9590554
Santa Filomena,-9.1176912,-45.9199551
Santa Luz,-8.95052,-44.1312995
Santana do Piauí,-6.9458076,-41.5190275
Santa Rosa do Piauí,-6.7983399,-42.2799407
Santo Antônio de Lisboa,-6.9831426,-41.2283884
Santo Antônio dos Milagres,-6.047544,-42.7117391
Santo Inácio do Piauí,-7.4224725,-41.9146001
São Braz do Piauí,-9.065002,-42.9982797
São Félix do Piauí,-5.9324414,-42.1119867
São Francisco de Assis do Piauí,-8.237476,-41.686332
São Francisco do Piauí,-7.2460489,-42.5414016
São Gonçalo do Gurguéia,-10.0303022,-45.3032826
São Gonçalo do Piauí,-5.9970067,-42.7041762
São João da Canabrava,-6.8175686,-41.3461715
São João da Fronteira,-3.9390215,-41.2592109
São João da Serra,-5.5163795,-41.8967078
São João da Varjota,-6.9151806,-41.8643155
São João do Arraial,-3.8126524,-42.4508146
São João do Piauí,-8.3601426,-42.2487642
São José do Divino,-3.8108544,-41.8297546
São José do Peixe,-7.4938166,-42.5661301
São José do Piauí,-6.8725567,-41.4772864
São Julião,-7.0834413,-40.8362405
São Lourenço do Piauí,-9.1680968,-42.545289
São Luis do Piauí,-6.8256095,-41.322949
São Miguel da Baixa Grande,-5.8648279,-42.1864332
São Miguel do Fidalgo,-7.5834113,-42.3709452
São Miguel do Tapuio,-5.5015262,-41.3214276
São Pedro do Piauí,-5.923768,-42.7195114
São Raimundo Nonato,-9.0149761,-42.6888427
Sebastião Barros,-10.8149125,-44.8330743
Sebastião Leal,-7.5679515,-44.0648363
Sigefredo Pacheco,-4.9148779,-41.7304149
Simões,-7.5970469,-40.8176003
Simplício Mendes,-7.860528,-41.9081183
Socorro do Piauí,-7.8631876,-42.4994689
Sussuapara,-7.0110259,-41.3830041
Tamboril do Piauí,-8.4007816,-42.9112793
Tanque do Piauí,-6.5971682,-42.2840316
Teresina,-5.0874608,-42.8049571
União,-4.5892553,-42.8593348
Uruçuí,-7.2363099,-44.555387
Valença do Piauí,-6.4048149,-41.7382812
Várzea Branca,-9.2371884,-42.9643784
Várzea Grande,-6.5460829,-42.2480401
Vera Mendes,-7.6041627,-41.4827889
Vila Nova do Piauí,-7.1429224,-40.9378562
Wall Ferraz,-7.2339199,-41.911407
