nome,amloc,foc
AnnotationIntrospector.java,406,10
AnnotationIntrospectorPair.java,195,10
BasicDeserializerFactory.java,323,26
BeanDeserializer.java,118,18
BeanDeserializerBase.java,123,14
ClassUtil.java,215,16
DeserializationFeature.java,100,10
EnumDeserializer.java,236,12
EnumResolver.java,905,23
EnumValues.java,195,11
FactoryBasedEnumDeserializer.java,154,11
JacksonAnnotationIntrospector.java,313,17
JsonNode.java,498,13
MapperFeature.java,91,12
NumberDeserializers.java,99,12
ObjectMapper.java,687,25
ObjectNode.java,680,13
POJOPropertiesCollector.java,308,16
StdDeserializer.java,558,21
StdTypeResolverBuilder.java,319,15
TokenBuffer.java,323,14
