Projeto ,Tamanho (Mb),Qtd. de commits,Data do último commit
https://github.com/apache/accumulo,129,11734,2023-03-07
https://github.com/apache/calcite,125,5159,2023-03-03
https://github.com/apache/chukwa,85,854,2019-03-31
https://github.com/apache/cassandra,487,28415,2023-03-07
https://github.com/apache/jackrabbit,121,9082,2023-02-28
https://github.com/FasterXML/jackson,33,2048,2023-01-05
https://github.com/apache/jspwiki,111,9244,2023-01-04
https://github.com/square/retrofit,11,2026,2023-03-07
https://github.com/apache/struts,111,6522,2023-03-07
https://github.com/apache/jena,559,10584,2023-03-06
https://github.com/apache/lucene-solr,606,34921,2021-11-24
https://github.com/apache/ant-ivy,47,3040,2022-12-05
https://github.com/jenkinsci/jenkins,233,33400,2023-03-06
https://github.com/SeleniumHQ/selenium,2126,29396,2023-03-08
https://github.com/cbeust/testng,48,5229,2023-03-06
https://github.com/apache/pdfbox,143,11180,2023-03-08
https://github.com/apache/poi,436,12515,2023-03-08
https://github.com/apache/xerces2-j,66,5510,2019-04-06
https://github.com/apache/druid,433,12504,2023-03-08
https://github.com/pgjdbc/pgjdbc,54,3263,2023-03-06
https://github.com/apache/activemq,143,11346,2023-03-07
https://github.com/apache/mina,21,2401,2017-06-06
https://github.com/alibaba/fastjson,38,3979,2023-01-28
https://github.com/google/gson,11,1799,2023-03-08
https://github.com/google/guava,451,5961,2023-03-06
