,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Medias
https://github.com/apache/accumulo,0:04:57,0:01:13,0:03:22,0:03:30,0:06:18,0:03:30
https://github.com/apache/calcite,0:04:57,0:13:19,0:03:22,0:03:30,0:01:06,0:03:30
https://github.com/apache/chukwa,0:08:03,0:13:19,0:03:22,0:03:30,0:04:50,0:04:50
https://github.com/apache/cassandra,0:04:57,0:02:55,0:03:22,0:03:30,0:06:18,0:03:30
https://github.com/apache/jackrabbit,0:08:04,0:02:55,0:03:22,0:13:09,0:06:18,0:06:18
https://github.com/FasterXML/jackson,0:08:04,0:13:19,0:00:54,0:01:09,0:06:18,0:06:18
https://github.com/apache/jspwiki,0:08:04,0:02:55,0:00:59,0:13:09,0:13:58,0:08:04
https://github.com/square/retrofit,0:15:08,0:13:19,0:04:51,0:13:09,0:06:18,0:13:09
https://github.com/apache/struts,0:15:08,0:01:48,0:03:25,0:13:09,0:06:18,0:06:18
https://github.com/apache/jena,0:02:35,0:13:19,0:04:51,0:13:09,0:06:18,0:06:18
https://github.com/apache/lucene-solr,0:08:04,0:13:19,0:04:51,0:13:09,0:06:18,0:08:04
https://github.com/apache/ant-ivy,0:08:04,0:13:19,0:00:17,0:13:09,0:13:58,0:13:09
https://github.com/jenkinsci/jenkins,0:15:08,0:13:19,0:01:28,0:02:48,0:13:58,0:13:19
https://github.com/SeleniumHQ/selenium,0:15:08,0:13:19,0:12:19,0:13:09,0:13:58,0:13:19
https://github.com/cbeust/testng,0:15:08,0:13:19,0:02:14,0:13:09,0:01:59,0:13:09
https://github.com/apache/pdfbox,0:01:08,0:01:48,0:02:14,0:02:48,0:01:59,0:01:59
https://github.com/apache/poi,0:01:55,0:01:48,0:02:14,0:02:48,0:01:59,0:01:59
https://github.com/apache/xerces2-j,0:02:16,0:01:48,0:02:14,0:02:48,0:01:59,0:02:14
https://github.com/apache/druid,0:02:52,0:03:28,0:02:14,0:02:23,0:02:32,0:02:32
https://github.com/pgjdbc/pgjdbc,0:02:16,0:00:41,0:00:43,0:00:34,0:02:32,0:00:43
https://github.com/apache/activemq,0:02:16,0:03:28,0:00:43,0:00:38,0:00:51,0:00:51
https://github.com/apache/mina,0:01:08,0:03:28,0:00:07,0:03:10,0:00:51,0:01:08
https://github.com/alibaba/fastjson,0:02:52,0:03:28,0:00:10,0:03:10,0:00:13,0:02:52
https://github.com/google/gson,0:02:52,0:03:28,0:00:10,0:03:10,0:00:09,0:02:52
https://github.com/google/guava,0:02:52,0:03:28,0:02:45,0:03:10,0:03:28,0:03:10
