Repositorio,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Media
https://github.com/apache/accumulo,0:00:44,0:00:42,0:00:50,0:00:44,0:00:45,0:00:45
https://github.com/apache/calcite,0:00:45,0:00:41,0:00:49,0:00:42,0:00:48,0:00:45
https://github.com/apache/chukwa,0:00:20,0:00:17,0:00:19,0:00:17,0:00:22,0:00:19
https://github.com/apache/cassandra,0:02:54,0:02:49,0:02:35,0:02:41,0:02:58,0:02:47
https://github.com/apache/jackrabbit,0:00:31,0:00:14,0:00:30,0:00:30,0:00:29,0:00:27
https://github.com/FasterXML/jackson,0:00:12,0:00:09,0:00:14,0:00:10,0:00:12,0:00:11
https://github.com/apache/jspwiki,0:00:33,0:00:25,0:00:33,0:00:34,0:00:41,0:00:33
https://github.com/square/retrofit,0:00:02,0:00:04,0:00:04,0:00:03,0:00:03,0:00:03
https://github.com/apache/struts,0:00:31,0:00:37,0:00:38,0:00:40,0:00:34,0:00:36
https://github.com/apache/jena,0:02:54,0:03:00,0:02:41,0:02:53,0:03:26,0:02:59
https://github.com/apache/lucene-solr,0:02:56,0:03:45,0:03:41,0:03:47,0:04:24,0:03:43
https://github.com/apache/ant-ivy,0:00:05,0:00:06,0:00:07,0:00:07,0:00:05,0:00:06
https://github.com/jenkinsci/jenkins,0:00:46,0:01:15,0:01:12,0:01:14,0:00:58,0:01:05
https://github.com/SeleniumHQ/selenium,0:10:28,0:12:03,0:12:14,0:14:14,0:14:56,0:12:47
https://github.com/cbeust/testng,0:00:08,0:00:16,0:00:13,0:00:14,0:00:12,0:00:13
https://github.com/apache/pdfbox,0:00:38,0:00:44,0:00:40,0:00:37,0:00:46,0:00:41
https://github.com/apache/poi,0:01:32,0:01:25,0:01:15,0:01:24,0:01:40,0:01:27
https://github.com/apache/xerces2-j,0:00:17,0:00:19,0:00:19,0:00:18,0:00:19,0:00:18
https://github.com/apache/druid,0:01:40,0:02:20,0:02:10,0:01:58,0:02:08,0:02:03
https://github.com/pgjdbc/pgjdbc,0:00:13,0:00:18,0:00:22,0:00:19,0:00:18,0:00:18
https://github.com/apache/activemq,0:00:20,0:00:22,0:00:27,0:00:30,0:00:31,0:00:26
https://github.com/apache/mina,0:00:07,0:00:06,0:00:11,0:00:06,0:00:07,0:00:07
https://github.com/alibaba/fastjson,0:00:06,0:00:09,0:00:08,0:00:08,0:00:06,0:00:07
https://github.com/google/gson,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:03
https://github.com/google/guava,0:01:01,0:03:07,0:03:02,0:03:03,0:02:29,0:02:32
